,DOSE,TREAT_RATIO,CAR_AFFINITY,ANTIGENS_CANCER,ANTIGENS_HEALTHY,Y_NORM_CANCER_LIVE,Y_NORM_HEALTHY_LIVE,Y_NORM_TCELL_LIVE,SCORE
1109,1000.0,0.25,1e-09,10000.0,0.0,0.0,1.688,64.119,1.688
1104,1000.0,0.25,1e-09,10000.0,0.0,0.0,1.657,65.062,1.657
1167,1000.0,0.25,1e-09,5000.0,0.0,0.0,1.625,64.519,1.625
1169,1000.0,0.25,1e-09,5000.0,0.0,0.0,1.621,64.556,1.621
1160,1000.0,0.25,1e-09,5000.0,0.0,0.0,1.61,65.573,1.61
1103,1000.0,0.25,1e-09,10000.0,0.0,0.0,1.608,65.028,1.608
1100,1000.0,0.25,1e-09,10000.0,0.0,0.0,1.605,65.365,1.605
1168,1000.0,0.25,1e-09,5000.0,0.0,0.0,1.602,64.956,1.602
1161,1000.0,0.25,1e-09,5000.0,0.0,0.0,1.599,65.08,1.599
1105,1000.0,0.25,1e-09,10000.0,0.0,0.0,1.598,65.213,1.598
1108,1000.0,0.25,1e-09,10000.0,0.0,0.0,1.594,64.864,1.594
1162,1000.0,0.25,1e-09,5000.0,0.0,0.0,1.591,65.402,1.591
1004,1000.0,0.25,1e-08,10000.0,0.0,0.0,1.59,65.65,1.59
1124,1000.0,0.25,1e-09,1000.0,0.0,0.0,1.59,65.65,1.59
1102,1000.0,0.25,1e-09,10000.0,0.0,0.0,1.589,64.766,1.589
1164,1000.0,0.25,1e-09,5000.0,0.0,0.0,1.587,65.298,1.587
1006,1000.0,0.25,1e-08,10000.0,0.0,0.0,1.582,65.509,1.582
1126,1000.0,0.25,1e-09,1000.0,0.0,0.0,1.582,65.509,1.582
1166,1000.0,0.25,1e-09,5000.0,0.0,0.0,1.582,64.962,1.582
1000,1000.0,0.25,1e-08,10000.0,0.0,0.0,1.58,65.717,1.58
1120,1000.0,0.25,1e-09,1000.0,0.0,0.0,1.58,65.717,1.58
1001,1000.0,0.25,1e-08,10000.0,0.0,0.0,1.579,64.947,1.579
1121,1000.0,0.25,1e-09,1000.0,0.0,0.0,1.579,64.947,1.579
1101,1000.0,0.25,1e-09,10000.0,0.0,0.0,1.579,64.749,1.579
1106,1000.0,0.25,1e-09,10000.0,0.0,0.0,1.576,65.184,1.576
1165,1000.0,0.25,1e-09,5000.0,0.0,0.0,1.574,66.181,1.574
1062,1000.0,0.25,1e-08,5000.0,0.0,0.0,1.572,65.513,1.572
1182,1000.0,0.25,1e-09,500.0,0.0,0.0,1.572,65.513,1.572
1163,1000.0,0.25,1e-09,5000.0,0.0,0.0,1.572,64.968,1.572
1005,1000.0,0.25,1e-08,10000.0,0.0,0.0,1.57,65.829,1.57
1125,1000.0,0.25,1e-09,1000.0,0.0,0.0,1.57,65.829,1.57
1009,1000.0,0.25,1e-08,10000.0,0.0,0.0,1.568,65.402,1.568
1129,1000.0,0.25,1e-09,1000.0,0.0,0.0,1.568,65.402,1.568
1008,1000.0,0.25,1e-08,10000.0,0.0,0.0,1.567,64.761,1.567
1128,1000.0,0.25,1e-09,1000.0,0.0,0.0,1.567,64.761,1.567
5165,500.0,0.25,1e-09,5000.0,0.0,0.0,1.562,131.74,1.562
1002,1000.0,0.25,1e-08,10000.0,0.0,0.0,1.556,65.686,1.556
1122,1000.0,0.25,1e-09,1000.0,0.0,0.0,1.556,65.686,1.556
1069,1000.0,0.25,1e-08,5000.0,0.0,0.0,1.553,65.975,1.553
1189,1000.0,0.25,1e-09,500.0,0.0,0.0,1.553,65.975,1.553
1066,1000.0,0.25,1e-08,5000.0,0.0,0.0,1.552,65.884,1.552
1186,1000.0,0.25,1e-09,500.0,0.0,0.0,1.552,65.884,1.552
1061,1000.0,0.25,1e-08,5000.0,0.0,0.0,1.55,65.301,1.55
1181,1000.0,0.25,1e-09,500.0,0.0,0.0,1.55,65.301,1.55
1063,1000.0,0.25,1e-08,5000.0,0.0,0.0,1.54,66.42,1.54
1183,1000.0,0.25,1e-09,500.0,0.0,0.0,1.54,66.42,1.54
5109,500.0,0.25,1e-09,10000.0,0.0,0.0,1.536,132.472,1.536
1060,1000.0,0.25,1e-08,5000.0,0.0,0.0,1.533,66.758,1.533
1180,1000.0,0.25,1e-09,500.0,0.0,0.0,1.533,66.758,1.533
1064,1000.0,0.25,1e-08,5000.0,0.0,0.0,1.532,66.613,1.532
1065,1000.0,0.25,1e-08,5000.0,0.0,0.0,1.532,66.733,1.532
1184,1000.0,0.25,1e-09,500.0,0.0,0.0,1.532,66.613,1.532
1185,1000.0,0.25,1e-09,500.0,0.0,0.0,1.532,66.733,1.532
1003,1000.0,0.25,1e-08,10000.0,0.0,0.0,1.528,65.83,1.528
1123,1000.0,0.25,1e-09,1000.0,0.0,0.0,1.528,65.83,1.528
5108,500.0,0.25,1e-09,10000.0,0.0,0.0,1.521,134.058,1.521
5169,500.0,0.25,1e-09,5000.0,0.0,0.0,1.519,132.782,1.519
5163,500.0,0.25,1e-09,5000.0,0.0,0.0,1.515,134.468,1.515
1068,1000.0,0.25,1e-08,5000.0,0.0,0.0,1.515,65.921,1.515
1188,1000.0,0.25,1e-09,500.0,0.0,0.0,1.515,65.921,1.515
5107,500.0,0.25,1e-09,10000.0,0.0,0.0,1.509,133.87,1.509
5105,500.0,0.25,1e-09,10000.0,0.0,0.0,1.507,134.68,1.507
5007,500.0,0.25,1e-08,10000.0,0.0,0.0,1.494,135.718,1.494
5127,500.0,0.25,1e-09,1000.0,0.0,0.0,1.494,135.718,1.494
5106,500.0,0.25,1e-09,10000.0,0.0,0.0,1.494,135.076,1.494
1067,1000.0,0.25,1e-08,5000.0,0.0,0.0,1.494,67.029,1.494
1187,1000.0,0.25,1e-09,500.0,0.0,0.0,1.494,67.029,1.494
5006,500.0,0.25,1e-08,10000.0,0.0,0.0,1.49,135.892,1.49
5126,500.0,0.25,1e-09,1000.0,0.0,0.0,1.49,135.892,1.49
5101,500.0,0.25,1e-09,10000.0,0.0,0.0,1.489,135.832,1.489
5161,500.0,0.25,1e-09,5000.0,0.0,0.0,1.485,135.592,1.485
5160,500.0,0.25,1e-09,5000.0,0.0,0.0,1.482,136.06,1.482
5003,500.0,0.25,1e-08,10000.0,0.0,0.0,1.467,135.34,1.467
5123,500.0,0.25,1e-09,1000.0,0.0,0.0,1.467,135.34,1.467
5103,500.0,0.25,1e-09,10000.0,0.0,0.0,1.464,135.562,1.464
5001,500.0,0.25,1e-08,10000.0,0.0,0.0,1.462,136.276,1.462
5121,500.0,0.25,1e-09,1000.0,0.0,0.0,1.462,136.276,1.462
1502,1000.0,0.5,1e-09,10000.0,0.0,0.0,1.46,69.353,1.46
5008,500.0,0.25,1e-08,10000.0,0.0,0.0,1.456,135.172,1.456
5128,500.0,0.25,1e-09,1000.0,0.0,0.0,1.456,135.172,1.456
5100,500.0,0.25,1e-09,10000.0,0.0,0.0,1.452,136.142,1.452
1501,1000.0,0.5,1e-09,10000.0,0.0,0.0,1.437,69.481,1.437
1564,1000.0,0.5,1e-09,5000.0,0.0,0.0,1.429,70.419,1.429
1500,1000.0,0.5,1e-09,10000.0,0.0,0.0,1.423,69.242,1.423
5068,500.0,0.25,1e-08,5000.0,0.0,0.0,1.42,137.894,1.42
5188,500.0,0.25,1e-09,500.0,0.0,0.0,1.42,137.894,1.42
1567,1000.0,0.5,1e-09,5000.0,0.0,0.0,1.415,69.381,1.415
5060,500.0,0.25,1e-08,5000.0,0.0,0.0,1.414,139.138,1.414
5180,500.0,0.25,1e-09,500.0,0.0,0.0,1.414,139.138,1.414
5066,500.0,0.25,1e-08,5000.0,0.0,0.0,1.413,139.232,1.413
5186,500.0,0.25,1e-09,500.0,0.0,0.0,1.413,139.232,1.413
5069,500.0,0.25,1e-08,5000.0,0.0,0.0,1.412,137.99,1.412
